member_number,name_kanji,name_furigana,email,email_verified_at,remember_token,password,birthdate,gender,office_name,postal_code,prefecture,address1,address2,tel1,tel2,tel3,owned_qualifications,certified_accountant_number,tax_accountant_number,advisory_experience_years,other_specialized_field,experience,is_partner,is_release_working_status
XXX111,井村友美,イムラユミ,watanabe.mikako@example.net,2021/11/14 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU2,2019/5/21,1,株式会社XXX,1001000,1,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP2級""}]",22222,11111,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,1
XXX112,山本和紀,ヤマモトカズキ,shuhei.kijima@example.org,2021/11/15 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU3,2019/5/22,2,株式会社XXX,1001001,1,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP3級""}]",22223,11112,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,0
XXX113,橋口肇,ハシグチハジメ,soutaro.nakajima@example.net,2021/11/16 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU4,2019/5/23,2,株式会社XXX,1001002,23,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP4級""}]",22224,11113,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,1
XXX114,大下豊,オオシタユタカ,jnomura@example.net,2021/11/17 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU5,2019/5/24,1,株式会社XXX,1001003,23,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP5級""}]",22225,11114,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,1
XXX115,工藤彩,クドウアヤ,vidaka@example.net,2021/11/18 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU6,2019/5/25,2,株式会社XXX,1001004,4,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP6級""}]",22226,11115,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,0
XXX116,大森浩之,オオモリヒロユキ,nanami86@example.net,2021/11/19 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU7,2019/5/26,1,株式会社XXX,1001005,32,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP7級""}]",22227,11116,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,0
XXX117,中山美恵,ナカヤマミエ,haruka.sasaki@example.net,2021/11/20 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU8,2019/5/27,1,株式会社XXX,1001006,4,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP8級""}]",22228,11117,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,0
XXX118,足立隆史,アダチタカシ,watanabe.yosuke@example.com,2021/11/21 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU9,2019/5/28,2,株式会社XXX,1001007,3,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP9級""}]",22229,11118,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,0
XXX119,四宮一輝,シノミヤカズキ,sakamoto.asuka@example.com,2021/11/22 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU10,2019/5/29,2,株式会社XXX,1001008,2,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP10級""}]",22230,11119,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,0
XXX120,木村麻衣,キムラマイ,hiroshi87@example.com,2021/11/23 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU11,2019/5/30,1,株式会社XXX,1001009,3,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP11級""}]",22231,11120,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,0
